Title (OPTIONAL),English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title
Understanding Bhagwān as the All-Doer,"Do not believe kāl, karma and other factors to be the doers. One should realize Akshar-Purushottam Maharaj as the all-doer.","કાળ, કર્મ આદિનું કર્તાપણું ન માનવું. અક્ષરપુરુષોત્તમ મહારાજને સર્વકર્તા માનવા.","Kāḷ, karma ādinu kartāpaṇu na mānvu. Akṣhar-puruṣhottam mahārājne sarvakartā mānvā.  ",,Satsang Diksha Shlok 279,Satsang Diksha Shlok 279 - Understanding Bhagwān as the All-Doer
Understanding Bhagwān as the All-Doer,"God is the all-doer. If we want to sleep now, we cannot, and once asleep even if  a thief comes and robs us, we are unable to wake up. Thus, God is the all-doer. ",સર્વકર્તા તો ભગવાન છે. હમણાં આપણે ઊંઘમાં જાવું હોય તો જવાય નહિ ને ઊંઘમાં ગયા હોઈએ ને  પછી ચોર આવીને લૂંટી જાય પણ આપણાથી જગાય નહિ. માટે સર્વકર્તા તો ભગવાન છે.,Sarvakartā to Bhagwān chhe. Hamṇā āpaṇe ūnghamā jāvu hoy to javāy nahi ne ūnghamā gayā hoīe ne pachhī chor āvīne lūṭī jāy paṇ āpṇāthī jagāy nahi. Māṭe sarvakartā to Bhagwān chhe. ,,Swamini Vat 1/201,Swamini Vat 1/201 - Understanding Bhagwān as the All-Doer
Understanding Bhagwān as the All-Doer,"In every talk, speech and activity, whatever clear insight (perception) arises, consider it to be the inspiration of Maharaj."," હરેક વાતમાં, બોલવામાં, ક્રિયામાં સૂઝી આવે, તે મહારાજની પ્રેરણા એમ સમજવું. ","Harek vātmān, bolvāmā, kriyāmā sūjhī āve, te mahārājnī prerṇā em samajvu. ",,Swamini Vat 4/125,Swamini Vat 4/125 - Understanding Bhagwān as the All-Doer
Understanding Bhagwān as the All-Doer,"Through your power, a lame person would climb a mountain
Through your power, a blind person would see
Through your power, a dumb person would recite the vedas
Through your power, a pauper would become a king
"," તમારા પ્રતાપ થકી, પાંગળો પર્વત ચડે;
તમારા પ્રતાપ થકી, અંધને આંખ્યો જડે. ૩૬
તમારા પ્રતાપ થકી, મૂકો મુખે વેદ ભણે;
તમારા પ્રતાપ થકી, રંક તે રાજા બણે. ૩૭
","Tamārā pratāp thakī, pāngaḷo parvat chaḍe;
Tamārā pratāp thakī, andhane ānkhyo jaḍe. 36
Tamārā pratāp thakī, mūko mukhe ved bhaṇe;
Tamārā pratāp thakī, ranka te rājā baṇe. 37
",,"Bhaktachintamani, Prakran 1","Bhaktachintamani, Prakran 1 - Understanding Bhagwān as the All-Doer"
Understanding Bhagwān as the All-Doer,"If one threateningly advances towards you, one must think, ‘Everything occurs per  the wishes of my God, but without His wish, even a dry leaf cannot be moved by anyone.’","જો માર માર કરતો કોઈ આવતો હોય તો એમ સમજવું જે, ‘મારા સ્વામીનું જ કર્યું સર્વે થાય છે, પણ  તે વિના કોઈનું હલાવ્યું પાનડું પણ હલતું નથી.’ ","Jo mār mār karto koī āvto hoy to em samajvu je, ‘mārā swāmīnuj karyu sarve thāy chhe, paṇ  te vinā koīnu halāvyu pānaḍu paṇ haltu nathī.’",,Swamini Vat 1/88,Swamini Vat 1/88 - Understanding Bhagwān as the All-Doer
Bhagwān as Omnipotent,"The inspirer of jiva, ishwara, mãyã, kãla, Purush, Pradhãn;
I control them all. I am the inspirer of all, God.
I create, sustain and dissolve countless worlds; 
Without my will, no one can pluck even a blade of grass.
","જીવ ઈશ્વર તણો રે, માયા કાળ પુરુષ પ્રધાન
સહુને વશ કરું રે, સહુનો પ્રેરક હું ભગવાન
અગણિત વિશ્વની રે, ઉત્પત્તિ પાલન પ્રલય થાય
મારી મરજી વિના રે, કોઈથી તરણું નવ તોડાય
","Jīva īshwar taṇo re, māyā kāḷ puruṣh pradhān
Sahune vash karu re, sahuno prerak hu Bhagwān
Agaṇit vishvanī re, utpatti pālan pralaya thāy
Mārī marajī vinā re, koīthī taraṇu nav toḍāy
",,Kirtan - Premanand Swami,Kirtan - Premanand Swami - Bhagwān as Omnipotent
The Benefits of Understanding Bhagwān as Sarva Kartā,"There are two means by which inner peace remains and no agitation arises: one is to worship God and the other is to understand God as the all-doer. Then, if we get happiness we should enjoy it and if we encounter misery we should tolerate it. It is said, “Dāsnā dushman Hari ke’di hoy nahi, jem karshe tem sukh ja thāshe.”1 – “God is not an enemy of the devotee, whatever he does will bring happiness.” ","અંતરમાં ટાઢું રહ્યા કરે ને ધગી ન જાય તેના બે ઉપાય છે: એક તો ભગવાનનું ભજન કરવું ને બીજું ભગવાનને સર્વકર્તા સમજવા ને તેમાં સુખ આવે તો સુખ ભોગવી લેવું ને દુઃખ આવે તો દુઃખ ભોગવી લેવું. તે કહ્યું છે જે, દાસના દુશ્મન હરિ કે’દી હોય નહિ, જેમ કરશે તેમ સુખ જ થાશે. ","Antarmā ṭāḍhu rahyā kare ne dhagī na jāy tenā be upāy chhe: ek to Bhagwānnu bhajan karvu ne bīju Bhagwāne sarvakartā samajvā ne tem sukh āve to sukh bhogavī levu ne dukh āve to dukh bhogvī levu. Te kahyu chhe je, dāsnā dushman hari ke’dī hoy nahi, jem karshe tem sukhaj thāshe.",,Swamini Vat 1/148,Swamini Vat 1/148 - The Benefits of Understanding Bhagwān as Sarva Kartā
The Benefits of Understanding Bhagwān as Sarva Kartā,"God is only pleased upon one who realizes God to possess a definite form and to be the creator, sustainer and destroyer of the cosmos. ",ભગવાનને જગતના કર્તાહર્તા જાણે અને મૂર્તિમાન જાણે તે ઉપર જ ભગવાન રાજી થાય છે. ,Bhagwānne jagatnā kartā-hartā jāṇe ane mūrtimā jāṇe te uparaj Bhagwān rājī thāy chhe.,,Vachanamrut Vartal-2,Vachanamrut Vartal-2
The Benefits of Understanding Bhagwān as Sarva Kartā,"The jiva’s liberation is attained only by the following understanding: ‘Everything  happens by the will of the incarnate form of Shri Krishna Nārāyan, not by kāl,  karma, māyā, etc.’ In this manner, understanding only God to be the all-doer is the  supreme cause of liberation. "," જીવનું કલ્યાણ તો આટલી જ વાતમાં છે જે, ‘પ્રકટ પ્રમાણ એવા જે શ્રીકૃષ્ણ નારાયણ તેનું જ કર્યું સર્વે થાય છે, પણ કાળ, કર્મ ને માયાદિક કોઈનું કર્યું કાંઈ થતું નથી.’ એવી રીતે ભગવાનને વિષે જ એક  કર્તાપણું સમજવું એ જ કલ્યાણનું પરમ કારણ છે. ","Jīvnu kalyāṇ to āṭalīj vātmā chhe je, ‘prakaṭ pramāṇ evā je shrīkṛuṣhṇa nārāyaṇ tenuj karyu sarve thāya chhe, paṇ kāḷ, karma ne māyādik koīnu karyu kāī thatu nathī.’ evī rīte Bhagwānne viṣhej ek  kartāpaṇu samajvu ej kalyāṇnu param kāraṇ chhe. ",,Vachanamrut Kariyani-10,Vachanamrut Kariyani-10 - The Benefits of Understanding Bhagwān as Sarva Kartā
The Benefits of Understanding Bhagwān as Sarva Kartā,"9/22/16 - Sarangpur-Bochasan
On the way from Sarangpur to Bochasan, Mahant Swami Maharaj engaged in a goshthi with the sadhus. During the goshthi, Brahmavatsal Swami asked Swamishri, "" After becoming the spiritual head of the sanstha your workload has increased. So how does it feel?"" Hearing this, Swamishri raised his right hand with a mala in it and said, "" Kãi lãgtu nathi. Maharaj-Swãmij badhu kãrya kare chhe ane ej karvãnã chhe... (I do not feel any burden. Maharaj and Swami do all the work and they will continue to do it)."" (Prasang)",,,,,Prasang
